theme_id	class_id	subclass_id	orientation_id	north	east	south	west
1	4	0	0	0:6	0:9		0:4;0:5
1	4	0	1	0:7	0:2;0:5;0:10	0:5;0:10	0:7
1	4	0	2			0:3	0:1
1	4	0	3	0:2	0:6	0:4	0:5
1	4	0	4	0:3	0:0		0:11
1	4	0	5	0:1;0:10	0:0;0:3;0:10	0:10;0:11	0:1;0:10
1	4	0	6			0:0	0:3
1	4	0	7	0:8	0:1	0:1	0:9
1	4	0	8		0:10	0:7	
1	4	0	9		0:7		0:0
1	4	0	10	0:1;0:5;0:10	0:5;0:10;0:11	0:5;0:10;0:11	0:1;0:5;0:8;0:10
1	4	0	11	0:5;0:10	0:4		0:10
1	6	0	0				
1	6	1	0				
1	6	2	0	2:1	2:2		
1	6	3	0	3:3		3:1	
1	6	3	1	3:0			
1	6	2	1			2:0;2:5	
1	6	2	2	2:3	2:3		2:0
1	6	2	3			2:2;2:4	2:2
1	6	4	0				
1	6	5	0		5:1		
1	6	2	4	2:3			2:6
1	6	3	2			3:3	
1	6	2	5	2:1			
1	6	2	6		2:4		
1	6	3	3	3:2		3:0	
1	6	5	1				5:0
1	13	0	0			0:3	0:1
1	13	0	1	0:4	0:0;0:6	0:2;0:5	0:3;0:6
1	13	0	2	0:1	0:3		0:4
1	13	0	3	0:0	0:1;0:4	0:4;0:6	0:2;0:5
1	13	0	4	0:3	0:2	0:1	0:3
1	13	0	5	0:1	0:3		
1	13	0	6	0:3	0:1		0:1
1	16	0	0				
1	18	0	0				
1	28	0	0				
1	49	0	0			0:6	0:1
1	49	0	1		0:0	0:7	0:4
1	49	0	2	0:5			
1	49	0	3	0:6			
1	49	0	4		0:1	0:5	
1	49	0	5	0:4	0:7	0:2	
1	49	0	6	0:0		0:3	0:7
1	49	0	7	0:1	0:6		0:5
2	1	0	0	0:0;0:8;0:14	0:0;0:14;0:20;0:29	0:0;0:5;0:9;0:17;0:25	0:0;0:1;0:8;0:9
2	1	0	1	0:16	0:0;0:14;0:20	0:12	0:3;0:12
2	1	0	2		0:12	0:20;0:25	0:21
2	1	0	3	0:12	0:1	0:24;0:27	0:28
2	1	0	4	0:6;0:19			0:12;0:20
2	1	0	5	0:0		0:9	
2	1	1	0				
2	1	0	6		0:10;0:27	0:4	0:12;0:16
2	1	0	7		0:12	0:23	0:22;0:28
2	1	0	8	0:9;0:18;0:21;0:26	0:0;0:14;0:17;0:20	0:0;0:9;0:17;0:20	0:14;0:16
2	1	0	9	0:0;0:5;0:8;0:14	0:0;0:17;0:20	0:8;0:12;0:21	0:12;0:20
2	1	0	10		0:10;0:15	0:12	0:6;0:10;0:27
2	1	0	11	0:12	0:27;0:28	0:27	
2	1	0	12	0:1;0:9;0:10;0:12	0:1;0:4;0:6;0:9;0:12;0:19;0:22;0:25	0:3;0:11;0:12	0:2;0:7;0:12;0:14;0:18;0:23;0:24
2	1	0	13		0:27	0:27	
2	1	0	14	0:16;0:23	0:8;0:12;0:22	0:0;0:9;0:20;0:25;0:29	0:0;0:1;0:8
2	1	0	15				0:10
2	1	0	16	0:27	0:6;0:8	0:1;0:14	
2	1	0	17	0:0;0:8	0:17;0:20		0:8;0:9;0:17;0:25
2	1	0	18	0:27	0:12	0:8	0:27
2	1	0	19		0:20	0:4	0:12
2	1	0	20	0:2;0:8;0:14	0:4;0:9		0:0;0:1;0:8;0:9;0:17;0:19;0:25
2	1	0	21	0:9	0:2	0:8	
2	1	0	22		0:7	0:26	0:12;0:14
2	1	0	23	0:7	0:12	0:14	0:26
2	1	0	24	0:3	0:12		0:27
2	1	0	25	0:0;0:2;0:14	0:17;0:20		0:12
2	1	0	26	0:22	0:23	0:8	
2	1	0	27	0:3;0:11;0:13;0:27;0:28	0:10;0:18;0:24;0:27;0:28	0:16;0:18;0:27	0:6;0:11;0:13;0:27
2	1	0	28		0:3;0:7	0:27	0:11;0:27
2	1	0	29	0:14			0:0
2	2	0	0	0:2;0:4;0:7;0:8	0:7;0:8	0:8	0:2
2	2	0	1	0:2;0:3;0:4;0:7;0:8	0:2;0:7;0:8	0:2;0:4	0:7
2	2	0	2	0:1;0:4;0:7	0:0	0:0;0:1;0:3;0:4;0:6;0:7;0:8	0:1;0:6
2	2	0	3	0:2;0:5;0:7	0:7	0:1;0:7	0:8
2	2	0	4	0:1;0:2	0:7;0:8	0:0;0:1;0:2	0:7;0:8
2	2	0	5	0:7	0:6	0:3	
2	2	0	6	0:2;0:7;0:8	0:2;0:7	0:7	0:5;0:7
2	2	0	7	0:2;0:3;0:6;0:7;0:8	0:1;0:4;0:6;0:7;0:8	0:0;0:1;0:2;0:3;0:5;0:6;0:7;0:8	0:0;0:1;0:3;0:4;0:6;0:7;0:8
2	2	0	8	0:0;0:2;0:7;0:8	0:3;0:4;0:7;0:8	0:0;0:1;0:6;0:7;0:8	0:0;0:1;0:4;0:7;0:8
2	4	0	0	0:13;0:19;0:20	0:34;0:52	0:20;0:23	0:46
2	4	0	1	0:26;0:29;0:31;0:38	0:4;0:10;0:38	0:6;0:18;0:41	0:15;0:16
2	4	0	2	0:9;0:38	0:38	0:32	0:29
2	4	0	3	0:25;0:47	0:18;0:46	0:36;0:50	
2	4	0	4	0:16;0:27;0:43	0:16;0:26;0:27	0:38	0:1;0:48
2	4	0	5	0:10;0:15;0:41;0:47	0:6;0:16;0:26;0:27;0:39;0:45	0:13;0:21;0:38;0:40;0:48	0:13;0:30;0:48
2	4	0	6	0:1;0:48	0:19;0:38	0:11;0:15;0:26	0:5;0:16;0:47
2	4	0	7	0:25;0:47	0:11;0:16;0:44;0:50	0:10;0:32;0:37	0:21
2	4	0	8	0:16;0:20;0:27	0:11;0:26;0:32;0:50	0:10;0:47	0:29;0:31;0:38
2	4	0	9	0:13	0:21;0:37	0:2;0:43	
2	4	0	10	0:7;0:8;0:10;0:25;0:41	0:11;0:14;0:16;0:18;0:31;0:39;0:50	0:5;0:10;0:19;0:28;0:32;0:33	0:1;0:13;0:48
2	4	0	11	0:6;0:32;0:50	0:36	0:18;0:39	0:7;0:8;0:10
2	4	0	12	0:27	0:31	0:33	0:38
2	4	0	13	0:5;0:23;0:26;0:29;0:33;0:38;0:41	0:5;0:10;0:33;0:38;0:41;0:47	0:0;0:9;0:20	0:20
2	4	0	14	0:26;0:39		0:21;0:24;0:28	0:10;0:16;0:34
2	4	0	15	0:6	0:1;0:48	0:5;0:47	0:40
2	4	0	16	0:16;0:27;0:32;0:35;0:39;0:44;0:48	0:1;0:6;0:14;0:16;0:18;0:27;0:44;0:45;0:46;0:48;0:50;0:51	0:4;0:8;0:16;0:18;0:24;0:27;0:39;0:41;0:46	0:4;0:5;0:7;0:10;0:16;0:27;0:32;0:37;0:41;0:47
2	4	0	17	0:49	0:19;0:47	0:52	
2	4	0	18	0:1;0:11;0:16;0:32;0:39;0:50;0:52	0:42		0:3;0:10;0:16;0:27;0:32;0:34;0:42;0:47
2	4	0	19	0:10;0:41;0:47	0:24;0:45;0:46	0:0;0:36	0:6;0:17
2	4	0	20	0:0;0:13;0:28;0:49;0:52	0:13;0:29	0:0;0:8;0:50;0:52	0:39;0:52
2	4	0	21	0:5;0:14;0:31	0:7;0:41	0:38	0:9;0:26;0:33
2	4	0	22		0:50	0:47	
2	4	0	23	0:0;0:52	0:35;0:50	0:13;0:32	
2	4	0	24	0:14;0:16	0:26;0:45		0:19
2	4	0	25		0:30;0:32;0:52	0:3;0:7;0:10;0:30;0:34;0:37;0:47	0:44
2	4	0	26	0:6;0:27;0:44	0:21;0:41	0:1;0:13;0:14	0:4;0:5;0:8;0:24;0:32
2	4	0	27	0:16;0:30;0:32;0:44	0:16;0:18;0:39;0:40;0:44	0:4;0:8;0:12;0:16;0:26;0:41	0:4;0:5;0:16;0:32;0:37;0:47
2	4	0	28	0:10;0:14;0:41;0:47		0:20	
2	4	0	29		0:2;0:8;0:43;0:47	0:1;0:13;0:30;0:47;0:48	0:20;0:39
2	4	0	30	0:25;0:29	0:5;0:47	0:27;0:41	0:25;0:41
2	4	0	31	0:40;0:50	0:8;0:47	0:1;0:21	0:10;0:12
2	4	0	32	0:2;0:7;0:10;0:23;0:41;0:47	0:16;0:18;0:26;0:27;0:39;0:40;0:45	0:11;0:16;0:18;0:27;0:41	0:8;0:25;0:41;0:47
2	4	0	33	0:10;0:12;0:41	0:21;0:41	0:13;0:48	0:13;0:40;0:49
2	4	0	34	0:25	0:14;0:18;0:46		0:0;0:45
2	4	0	35			0:16;0:39;0:41	0:23
2	4	0	36	0:3;0:19			0:11
2	4	0	37	0:7;0:25	0:16;0:27;0:44	0:38	0:9;0:38
2	4	0	38	0:4;0:5;0:21;0:37	0:8;0:12;0:37;0:41	0:1;0:2;0:13;0:40;0:48	0:1;0:2;0:6;0:13;0:45;0:48
2	4	0	39	0:11;0:16;0:35;0:50	0:20;0:29	0:14;0:16;0:18	0:5;0:10;0:27;0:32;0:41;0:47
2	4	0	40	0:5;0:38	0:15;0:33	0:31	0:27;0:32
2	4	0	41	0:1;0:16;0:27;0:30;0:32;0:35;0:44	0:16;0:30;0:32;0:39;0:44;0:48	0:5;0:10;0:13;0:19;0:28;0:32;0:33;0:47	0:13;0:21;0:26;0:33;0:38
2	4	0	42	0:47	0:18;0:46		0:18
2	4	0	43	0:9	0:44;0:48	0:4	0:29
2	4	0	44		0:25	0:16;0:26;0:27;0:41	0:7;0:16;0:27;0:37;0:41;0:43;0:47
2	4	0	45	0:48	0:34;0:38	0:52	0:5;0:16;0:19;0:24;0:32
2	4	0	46	0:16;0:48;0:52	0:0		0:3;0:16;0:19;0:34;0:42
2	4	0	47	0:8;0:15;0:22;0:25;0:29;0:41;0:47	0:6;0:16;0:18;0:27;0:32;0:39;0:44;0:48	0:3;0:5;0:7;0:19;0:28;0:32;0:42;0:47	0:13;0:17;0:29;0:30;0:31;0:49
2	4	0	48	0:5;0:29;0:33;0:38	0:4;0:5;0:10;0:38	0:6;0:16;0:45;0:46	0:15;0:16;0:41;0:43;0:47
2	4	0	49		0:33;0:47	0:17;0:20	
2	4	0	50	0:3;0:20;0:52		0:11;0:18;0:31;0:39	0:7;0:8;0:10;0:16;0:22;0:23
2	4	0	51				0:16
2	4	0	52	0:17;0:20;0:45	0:20	0:18;0:20;0:23;0:46;0:50	0:0;0:25
2	16	0	0				
2	17	0	0				
2	17	1	0				
2	19	0	0				
2	38	0	0	0:1	0:5		0:3
2	38	0	1	0:8	0:7	0:0	0:4
2	38	0	2		0:6	0:7	0:8
2	38	0	3	0:4	0:0		0:5
2	38	0	4	0:6	0:1	0:3	0:7
2	38	0	5	0:7	0:3		0:0
2	38	0	6		0:8	0:4	0:2
2	38	0	7	0:2	0:4	0:5	0:1
2	38	0	8		0:2	0:1	0:6
2	49	0	0	0:5	0:2	0:3	0:4
2	49	0	1	0:2			0:3
2	49	0	2	0:7	0:4	0:1	0:0
2	49	0	3	0:0	0:1		
2	49	0	4	0:6	0:0		0:2
2	49	0	5		0:7	0:0	0:6
2	49	0	6		0:5	0:4	0:7
2	49	0	7		0:6	0:2	0:5
3	1	0	0	0:0;0:2	0:0;0:1;0:3;0:5	0:0;0:9	0:0;0:7;0:12
3	1	0	1		0:10	0:3;0:6	0:0
3	1	0	2	0:4	0:4;0:8	0:0	0:5
3	1	0	3	0:1		0:11	0:0
3	1	0	4		0:4;0:7	0:2;0:5;0:8	0:2;0:4
3	1	0	5	0:4	0:2		0:0
3	1	0	6	0:1;0:6;0:10;0:11	0:6	0:6	0:6;0:9
3	1	0	7		0:0	0:11	0:4
3	1	0	8	0:4	0:11		0:2
3	1	0	9	0:0	0:6		0:11
3	1	0	10			0:6	0:1
3	1	0	11	0:3;0:7	0:9	0:6	0:8
3	1	0	12		0:0		
3	2	0	0				
3	7	0	0	0:0;0:4;0:6	0:1;0:4;0:8;0:9	0:0;0:2;0:3;0:9	
3	7	0	1	0:1;0:2;0:4;0:5;0:9	0:1;0:2;0:4;0:5;0:9	0:1;0:2;0:9	0:0;0:1;0:3;0:8;0:9
3	7	0	2	0:0;0:1;0:2;0:3;0:5;0:9	0:2;0:4;0:7;0:9	0:1;0:2;0:6;0:9	0:1;0:2;0:4;0:6;0:7;0:9
3	7	0	3	0:0;0:6	0:1;0:4;0:9	0:2;0:9	
3	7	0	4		0:2;0:4;0:5;0:7;0:8;0:9	0:0;0:1;0:6;0:9	0:0;0:1;0:2;0:3;0:4;0:7;0:8;0:9
3	7	0	5			0:1;0:2;0:6	0:1;0:4;0:9
3	7	0	6	0:2;0:4;0:5;0:8;0:9	0:2;0:7;0:9	0:0;0:3;0:9	
3	7	0	7		0:2;0:4		0:2;0:4;0:6;0:9
3	7	0	8		0:1;0:4;0:8;0:9	0:6;0:9	0:0;0:4;0:8;0:9
3	7	0	9	0:0;0:1;0:2;0:3;0:4;0:6;0:8;0:9	0:1;0:2;0:4;0:5;0:7;0:8;0:9	0:1;0:2;0:6;0:9	0:0;0:1;0:2;0:3;0:4;0:6;0:8;0:9
3	23	0	0		0:11	0:15	
3	23	0	1	0:15	0:2	0:5;0:12;0:15	
3	23	0	2		0:7;0:11;0:16	0:6	0:1;0:7;0:8
3	23	0	3		0:4		0:4
3	23	0	4	0:11	0:3;0:4;0:10;0:15		0:3;0:4;0:6
3	23	0	5	0:1;0:15	0:6	0:10;0:15	0:11
3	23	0	6	0:2;0:11	0:4		0:5;0:12;0:15
3	23	0	7		0:2		0:2
3	23	0	8		0:2	0:15	0:9
3	23	0	9		0:8		0:11
3	23	0	10	0:5			0:4
3	23	0	11	0:15	0:5;0:9;0:11;0:16	0:4;0:6;0:15	0:0;0:2;0:11
3	23	0	12	0:1;0:15	0:6	0:15	
3	23	0	13	0:15		0:15	0:14
3	23	0	14		0:13		
3	23	0	15	0:0;0:1;0:5;0:8;0:11;0:12;0:13;0:15;0:16	0:6	0:1;0:5;0:11;0:12;0:13;0:15	0:4
3	23	0	16			0:15	0:2;0:11
3	24	0	0				
3	25	0	0	0:0;0:1;0:4;0:6;0:9;0:10	0:9;0:11	0:0;0:1;0:6;0:9;0:10	0:3;0:9;0:11
3	25	0	1	0:0;0:1;0:3;0:4;0:7	0:5;0:9;0:11	0:0;0:1;0:4;0:6	0:4;0:11
3	25	0	2	0:9	0:3	0:9	
3	25	0	3	0:3;0:6;0:9;0:11	0:0;0:5;0:9	0:1;0:3;0:4;0:6;0:9	0:2;0:4;0:6;0:9
3	25	0	4	0:1;0:3;0:4;0:6;0:7;0:9;0:11	0:1;0:3;0:6;0:9;0:11	0:0;0:1;0:4;0:6	
3	25	0	5		0:9	0:9;0:10	0:1;0:3;0:9
3	25	0	6	0:0;0:1;0:3;0:4;0:6;0:9;0:10;0:11	0:3;0:10;0:11	0:0;0:3;0:4;0:6;0:10	0:4;0:9;0:10;0:11
3	25	0	7		0:11	0:1;0:4;0:9	
3	25	0	8		0:11	0:9	
3	25	0	9	0:0;0:2;0:3;0:5;0:7;0:8;0:9;0:11	0:0;0:3;0:5;0:6;0:9	0:0;0:2;0:3;0:4;0:6;0:9	0:0;0:1;0:3;0:4;0:5;0:9;0:11
3	25	0	10	0:0;0:5;0:6;0:10	0:6	0:0;0:6;0:10	0:6
3	25	0	11		0:0;0:1;0:6;0:9;0:11	0:3;0:4;0:6;0:9	0:0;0:1;0:4;0:6;0:7;0:8;0:11
3	26	0	0		0:0		0:0
3	26	1	0				
3	27	0	0				
3	32	0	0				
3	34	0	0				
3	35	0	0				
3	36	0	0				
3	36	1	0				
3	41	0	0		0:0	0:1	0:0
3	41	0	1	0:0			
4	1	0	0		0:24	0:27	
4	1	0	1	0:1;0:5;0:13;0:18;0:28;0:30;0:33;0:36	0:1;0:9;0:28;0:33;0:36;0:40	0:1;0:9;0:20;0:26;0:29;0:34;0:39;0:43;0:46	0:1;0:2;0:5;0:13;0:20;0:26;0:29;0:33;0:46
4	1	0	2		0:1;0:5;0:10;0:28	0:22	0:22
4	1	0	3	0:13	0:43	0:45	
4	1	0	4	0:11;0:42	0:45		0:16
4	1	0	5	0:27	0:1;0:28;0:33;0:44	0:1;0:20;0:36	0:2;0:13;0:33;0:43
4	1	0	6		0:22	0:15;0:31	0:22
4	1	0	7		0:31	0:17	
4	1	0	8			0:43	
4	1	0	9	0:1;0:13;0:28;0:33;0:36	0:14;0:16;0:20;0:45	0:45	0:1;0:13;0:20;0:34;0:43
4	1	0	10	0:23	0:29;0:44		0:2;0:13;0:20
4	1	0	11	0:32	0:22	0:4	0:37
4	1	0	12		0:41		
4	1	0	13	0:17;0:20;0:23;0:45	0:1;0:5;0:9;0:10;0:28;0:33;0:34;0:36	0:1;0:3;0:9;0:20;0:26;0:29;0:34	0:22;0:28
4	1	0	14	0:40	0:22		0:9
4	1	0	15	0:6	0:32	0:37;0:41	
4	1	0	16	0:37	0:4		0:9
4	1	0	17	0:7;0:42	0:30;0:45	0:13;0:22;0:45	0:19
4	1	0	18	0:22;0:45	0:33	0:1;0:34	0:30
4	1	0	19	0:38	0:17		
4	1	0	20	0:1;0:5;0:13;0:28	0:1;0:9;0:10;0:34;0:44	0:13;0:22	0:9;0:22;0:45
4	1	0	21			0:42	
4	1	0	22	0:2;0:17;0:20;0:22;0:29;0:39;0:43	0:2;0:6;0:13;0:20;0:22;0:39	0:18;0:22;0:30;0:32;0:35	0:6;0:11;0:14;0:22;0:24;0:25;0:31;0:42;0:45
4	1	0	23			0:10;0:13	0:28
4	1	0	24		0:22	0:40;0:44	0:0;0:30
4	1	0	25		0:22		
4	1	0	26	0:1;0:13	0:1	0:27;0:43	0:28
4	1	0	27	0:0;0:26;0:46	0:34;0:43;0:46	0:5	
4	1	0	28		0:13;0:23;0:26;0:37;0:45	0:1;0:9;0:20;0:43	0:1;0:2;0:5;0:13;0:33
4	1	0	29	0:1;0:13;0:46	0:1;0:34	0:22	0:10;0:43
4	1	0	30	0:22	0:18;0:24	0:1	0:17
4	1	0	31	0:6	0:22		0:7
4	1	0	32	0:22	0:45	0:11;0:45	0:15
4	1	0	33		0:1;0:5;0:28	0:1;0:9	0:1;0:5;0:13;0:18
4	1	0	34	0:1;0:13;0:18	0:9;0:34		0:13;0:20;0:27;0:29;0:34;0:43
4	1	0	35	0:22			
4	1	0	36	0:5		0:1;0:9	0:1;0:13
4	1	0	37	0:15	0:11	0:16	0:28
4	1	0	38		0:42	0:19	
4	1	0	39	0:1		0:22	0:22
4	1	0	40	0:24;0:40		0:14;0:40	0:1;0:46
4	1	0	41	0:15			0:12
4	1	0	42	0:21	0:22	0:4;0:17	0:38
4	1	0	43	0:1;0:8;0:26;0:28	0:5;0:9;0:29;0:34	0:22	0:3;0:27
4	1	0	44	0:24			0:5;0:10;0:20
4	1	0	45	0:3;0:9;0:17;0:32;0:45	0:20;0:22;0:45	0:13;0:18;0:45	0:4;0:9;0:17;0:28;0:32;0:45
4	1	0	46	0:1	0:1;0:40	0:27;0:29	0:27
4	2	0	0	0:2;0:3;0:4;0:5	0:4;0:5	0:5	0:2
4	2	0	1	0:2;0:3;0:4;0:5	0:2;0:4;0:5	0:2;0:3	0:4
4	2	0	2	0:1;0:3;0:4	0:0	0:0;0:1;0:3;0:4;0:5	0:1
4	2	0	3	0:1;0:2	0:4;0:5	0:0;0:1;0:2	0:4;0:5
4	2	0	4	0:2;0:4;0:5	0:1;0:3;0:4;0:5	0:0;0:1;0:2;0:4;0:5	0:0;0:1;0:3;0:4;0:5
4	2	0	5	0:0;0:2;0:4;0:5	0:3;0:4;0:5	0:0;0:1;0:4;0:5	0:0;0:1;0:3;0:4;0:5
4	3	0	0	0:2	0:1;0:2	0:2	0:1;0:2
4	3	0	1	0:1;0:2	0:0;0:1;0:2	0:1;0:2	0:0;0:1;0:2
4	3	0	2	0:0;0:1	0:0;0:1	0:0;0:1	0:0;0:1
4	6	0	0	0:4		0:8	0:4;0:5
4	6	0	1	0:5	0:8		0:4
4	6	0	2	0:3			
4	6	0	3	0:3	0:6	0:2;0:3;0:7	0:4;0:7
4	6	0	4	0:7	0:0;0:1;0:3	0:0	
4	6	0	5	0:6;0:7	0:0	0:1	0:7
4	6	0	6			0:5	0:3
4	6	0	7	0:3	0:3;0:5	0:4;0:5	
4	6	0	8	0:0			0:1
4	11	0	0			0:9	0:9
4	11	0	1			0:8;0:9	0:9;0:11
4	11	0	2	0:7	0:4;0:10	0:5;0:10	
4	11	0	3		0:10	0:10	
4	11	0	4		0:7;0:10;0:11		0:2;0:9;0:11
4	11	0	5	0:2		0:10	0:7
4	11	0	6				0:11
4	11	0	7		0:5	0:2	0:4
4	11	0	8	0:1	0:11		
4	11	0	9	0:0;0:1	0:0;0:1;0:4		
4	11	0	10	0:2;0:3;0:5			0:2;0:3;0:4
4	11	0	11		0:1;0:4;0:6		0:4;0:8
4	15	0	0				
4	15	1	0	1:0	1:0	1:0	1:0
4	15	2	0	2:0	2:0	2:0	2:0
4	17	0	0				
4	17	1	0				
4	40	0	0				
4	49	0	0	0:5	0:2	0:3	0:4
4	49	0	1	0:2			0:3
4	49	0	2	0:7	0:4	0:1	0:0
4	49	0	3	0:0	0:1		
4	49	0	4	0:6	0:0		0:2
4	49	0	5		0:7	0:0	0:6
4	49	0	6		0:5	0:4	0:7
4	49	0	7		0:6	0:2	0:5
5	1	0	0	0:0;0:4;0:8	0:0;0:6	0:0;0:1	0:0;0:2;0:3
5	1	1	0				1:1
5	1	0	1	0:0		0:4;0:5	
5	1	0	2		0:0		0:6
5	1	0	3		0:0		0:8
5	1	0	4	0:1	0:8	0:0;0:7	
5	1	1	1		1:0		
5	1	0	5	0:1;0:5;0:7	0:5	0:5	0:5
5	1	0	6		0:2		0:0
5	1	0	7	0:4		0:5	
5	1	0	8		0:3	0:0	0:4
5	2	0	0		0:0;0:1	0:1	0:0;0:1
5	2	0	1	0:0	0:0		0:0
5	7	0	0	0:0;0:4;0:7	0:1;0:2;0:4;0:8;0:10	0:0;0:1;0:10	
5	7	0	1	0:0;0:1;0:2;0:4;0:5;0:8;0:10;0:12;0:13	0:1;0:2;0:4;0:6;0:8;0:9;0:10;0:12	0:1;0:2;0:5;0:6;0:7;0:10;0:12;0:13	0:0;0:1;0:4;0:5;0:6;0:7;0:8;0:10;0:13
5	7	0	2	0:1;0:2;0:4;0:8;0:10;0:12;0:13		0:1;0:2;0:7;0:10;0:12	0:0;0:1;0:6;0:8;0:10;0:13
5	7	0	3		0:8;0:10;0:14	0:6;0:13	0:6;0:8
5	7	0	4		0:1;0:4;0:8;0:10;0:12;0:14	0:0;0:1;0:2;0:6;0:7;0:10;0:13	0:0;0:1;0:4;0:8;0:10;0:14
5	7	0	5	0:1;0:10;0:13	0:1	0:1	
5	7	0	6	0:1;0:3;0:4;0:8;0:12	0:1;0:2;0:3;0:6;0:10		0:1;0:6;0:10;0:13
5	7	0	7	0:1;0:2;0:4;0:8;0:10	0:1;0:10	0:0;0:10	
5	7	0	8		0:1;0:2;0:3;0:4;0:8;0:10;0:12;0:14	0:1;0:2;0:6;0:7;0:10;0:13	0:0;0:1;0:3;0:4;0:8;0:10;0:13;0:14
5	7	0	9				0:1
5	7	0	10	0:0;0:1;0:2;0:4;0:7;0:8;0:10;0:12;0:13	0:1;0:2;0:4;0:6;0:8;0:10;0:12;0:14	0:1;0:2;0:5;0:7;0:10;0:13	0:0;0:1;0:3;0:4;0:6;0:7;0:8;0:10;0:13
5	7	0	11			0:12	
5	7	0	12	0:1;0:2;0:11;0:12		0:1;0:2;0:6;0:10;0:12	0:1;0:4;0:8;0:10;0:13
5	7	0	13	0:1;0:3;0:4;0:8;0:10;0:13	0:1;0:2;0:6;0:8;0:10;0:12	0:1;0:2;0:5;0:10;0:13	
5	7	0	14		0:4;0:8;0:14		0:3;0:4;0:8;0:10;0:14
5	17	0	0				
5	17	1	0				
5	19	0	0				
5	20	0	0				
5	21	0	0				
5	26	0	0		0:0		0:0
