id	symbol	name	promotion_symbol	promotion_id	sms_id	slow_walking	baseHP	basePow	baseSkl	baseSpd	baseDef	baseRes	baseCon	baseMov	maxHP	maxPow	maxSkl	maxSpd	maxDef	maxRes	maxCon	growthHP	growthPow	growthSkl	growthSpd	growthDef	growthRes	growthLck	growthCon	promotionHP	promotionPow	promotionSkl	promotionSpd	promotionDef	promotionRes	promotionCon	attributes	movement_cost_table
17	CLASS_HERO	Hero	CLASS_MERCENARY	15	12	0	22	6	9	10	8	2	11	6	60	25	30	26	25	22	25	75	30	30	20	20	20		0	0	1	2	2	2	2	0	CA_PROMOTED	TerrainTable_MovCost_CommonT2Normal
18	CLASS_HERO_F	Hero F	CLASS_MERCENARY_F	16	13	0	22	6	10	11	6	3	9	6	60	24	30	26	24	24	25	75	30	30	20	20	20		0	0	0	0	0	0	0	0	CA_PROMOTED	TerrainTable_MovCost_CommonT2Normal
19	CLASS_MYRMIDON	Myrmidon	CLASS_SWORDMASTER	21	14	0	16	4	9	9	2	0	8	5	60	20	20	20	20	20	20	70	35	40	40	15	20		0	0	0	0	0	0	0	0	CA_LOCK_2	TerrainTable_MovCost_CommonT1Normal
20	CLASS_MYRMIDON_F	Myrmidon F	CLASS_SWORDMASTER_F	22	15	0	15	3	9	10	1	1	5	5	60	20	20	20	20	20	20	70	35	40	40	15	20		0	0	0	0	0	0	0	0	CA_LOCK_2	TerrainTable_MovCost_CommonT1Normal
21	CLASS_SWORDMASTER	Swordmaster	CLASS_MYRMIDON	19	16	0	21	6	11	10	5	2	9	6	60	24	29	30	22	23	20	65	25	30	30	15	22		0	0	2	0	0	2	1	0	CA_CRITBONUS | CA_PROMOTED | CA_LOCK_2	TerrainTable_MovCost_CommonT2Normal
22	CLASS_SWORDMASTER_F	Swordmaster F	CLASS_MYRMIDON_F	20	17	0	19	6	11	12	4	3	7	6	60	22	29	30	22	25	20	65	25	30	30	15	22		0	0	2	1	0	2	1	0	CA_CRITBONUS | CA_PROMOTED | CA_LOCK_2	TerrainTable_MovCost_CommonT2Normal
23	CLASS_ASSASSIN	Assassin	CLASS_THIEF	13	18	0	16	3	1	9	2	0	8	6	60	20	30	30	20	20	20	50	5	45	40	5	20		0	0	1	0	0	2	2	0	CA_THIEF | CA_PROMOTED | CA_LOCK_2 | CA_ASSASSIN	TerrainTable_MovCost_ThiefNormal
24	CLASS_ASSASSIN_F	Assassin F	CLASS_THIEF	13	19	0	16	3	1	9	2	0	6	6	60	20	30	30	20	20	20	50	5	45	40	5	20		0	0	1	1	1	2	1	0	CA_THIEF | CA_PROMOTED | CA_LOCK_2 | CA_ASSASSIN	TerrainTable_MovCost_ThiefNormal
25	CLASS_ARCHER	Archer	CLASS_SNIPER	27	20	0	18	4	3	3	3	0	7	5	60	20	20	20	20	20	20	70	35	40	32	15	15		0	0	0	0	0	0	0	0	CA_BALLISTAE	TerrainTable_MovCost_CommonT1Normal
26	CLASS_ARCHER_F	Archer F	CLASS_SNIPER_F	28	21	0	17	3	3	4	3	0	5	5	60	20	20	20	20	20	20	70	35	40	32	15	20		0	0	0	0	0	0	0	0	CA_BALLISTAE	TerrainTable_MovCost_CommonT1Normal
27	CLASS_SNIPER	Sniper	CLASS_ARCHER	25	22	0	21	7	6	5	5	2	8	6	60	25	30	28	25	23	20	65	30	30	20	15	20		0	0	1	2	2	2	3	0	CA_BALLISTAE | CA_PROMOTED	TerrainTable_MovCost_CommonT2Normal
28	CLASS_SNIPER_F	Sniper F	CLASS_ARCHER_F	26	23	0	19	6	6	7	5	3	6	6	60	24	30	29	24	24	20	65	30	30	20	15	25		0	0	3	1	1	2	2	0	CA_BALLISTAE | CA_PROMOTED	TerrainTable_MovCost_CommonT2Normal
29	CLASS_RANGER	Ranger	CLASS_ARCHER	25	24	0	21	7	6	7	6	3	9	7	60	25	28	30	24	23	25	60	25	30	35	15	15		0	0	2	1	1	3	3	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_MOUNTED	TerrainTable_MovCost_AnimalT2Normal
30	CLASS_RANGER_F	Ranger F	CLASS_ARCHER_F	26	24	0	21	6	6	7	5	4	8	7	60	23	28	30	22	25	25	60	25	30	35	15	20		0	0	2	2	1	3	3	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_MOUNTED	TerrainTable_MovCost_AnimalT2Normal
31	CLASS_WYVERN_RIDER	Wyvern Rider	CLASS_WYVERN_LORD	33	25	0	20	7	3	5	8	0	10	7	60	20	20	20	20	20	25	80	45	35	30	25	15		0	0	0	0	0	0	0	0	CA_MOUNTEDAID | CA_CANTO | CA_WYVERN	TerrainTable_MovCost_FlyNormal
32	CLASS_WYVERN_RIDER_F	Wyvern Rider F	CLASS_WYVERN_LORD_F	34	26	0	19	6	5	5	7	0	9	7	60	20	20	20	20	20	25	80	45	35	30	25	17		0	0	0	0	0	0	0	0	CA_MOUNTEDAID | CA_CANTO | CA_WYVERN	TerrainTable_MovCost_FlyNormal
33	CLASS_WYVERN_LORD	Wyvern Lord	CLASS_WYVERN_RIDER	31	27	0	25	9	5	7	10	1	11	8	60	27	25	23	28	22	25	75	40	30	20	20	17		0	0	2	2	0	2	0	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_WYVERN	TerrainTable_MovCost_FlyNormal
34	CLASS_WYVERN_LORD_F	Wyvern Lord F	CLASS_WYVERN_RIDER_F	32	28	0	24	8	7	7	9	2	10	8	60	25	26	24	27	23	25	75	40	30	20	20	17		0	0	0	0	0	0	0	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_WYVERN	TerrainTable_MovCost_FlyNormal
35	CLASS_WYVERN_KNIGHT	Wyvern Knight	CLASS_WYVERN_RIDER	31	29	0	20	7	7	8	7	1	10	8	60	25	26	28	24	22	25	65	35	30	30	15	17		0	0	1	2	3	0	1	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_WYVERN	TerrainTable_MovCost_FlyNormal
36	CLASS_WYVERN_KNIGHT_F	Wyvern Knight F	CLASS_WYVERN_RIDER_F	32	29	0	19	6	8	9	6	2	9	8	60	24	27	29	23	23	25	65	35	30	30	15	20		0	0	2	1	2	1	1	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_WYVERN	TerrainTable_MovCost_FlyNormal
37	CLASS_MAGE	Mage	CLASS_SAGE	39	30	0	16	1	2	3	3	3	6	5	60	20	20	20	20	20	20	55	55	40	35	5	30		0	0	0	1	2	1	2	0		TerrainTable_MovCost_MagicNormal
38	CLASS_MAGE_F	Mage F	CLASS_SAGE_F	40	31	0	16	1	3	2	2	4	3	5	60	20	20	20	20	20	20	55	55	40	35	5	40		0	0	0	0	0	0	0	0		TerrainTable_MovCost_MagicNormal
39	CLASS_SAGE	Sage	CLASS_MAGE	37	32	0	20	5	4	4	5	5	7	6	60	28	30	26	21	25	20	45	45	30	25	10	40		0	0	1	0	0	3	3	0	CA_PROMOTED	TerrainTable_MovCost_MagicNormal
40	CLASS_SAGE_F	Sage F	CLASS_MAGE_F	38	33	0	19	4	6	5	3	6	4	6	60	30	28	26	21	25	20	45	45	30	25	10	40		0	0	1	1	0	3	3	0	CA_PROMOTED	TerrainTable_MovCost_MagicNormal
41	CLASS_MAGE_KNIGHT	Mage Knight	CLASS_MAGE	37	34	0	20	4	3	5	5	5	8	7	60	24	26	25	24	25	25	45	40	30	40	10	40		0	0	2	0	0	2	2	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_MOUNTED	TerrainTable_MovCost_HorseT2Normal
42	CLASS_MAGE_KNIGHT_F	Mage Knight F	CLASS_MAGE_F	38	35	0	19	3	5	6	3	6	6	7	60	25	24	25	24	28	25	45	40	30	40	10	40		0	0	2	1	0	2	2	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_MOUNTED	TerrainTable_MovCost_HorseT2Normal
43	CLASS_BISHOP	Bishop	CLASS_PRIEST	69	36	0	21	4	4	4	3	8	7	6	60	25	26	24	22	30	20	45	35	25	22	8	40		0	0	2	1	0	3	2	0	CA_PROMOTED	TerrainTable_MovCost_MagicNormal
44	CLASS_BISHOP_F	Bishop F	CLASS_CLERIC	74	37	0	19	4	5	4	2	9	5	6	60	25	25	26	21	30	20	45	35	25	22	8	50		0	0	1	2	1	2	2	0	CA_PROMOTED	TerrainTable_MovCost_MagicNormal
45	CLASS_SHAMAN	Shaman	CLASS_DRUID	47	38	0	16	2	1	2	2	4	7	5	60	20	20	20	20	20	20	50	50	32	30	10	30		0	0	2	0	1	1	2	0		TerrainTable_MovCost_MagicNormal
46	CLASS_SHAMAN_F	Shaman F	CLASS_DRUID_F	48	38	0	15	3	1	1	1	5	3	5	60	20	20	20	20	20	20	50	45	32	30	10	40		0	0	0	0	0	0	0	0		TerrainTable_MovCost_MagicNormal
47	CLASS_DRUID	Druid	CLASS_SHAMAN	45	39	0	19	6	3	4	4	6	8	6	60	29	26	26	21	28	20	45	55	30	25	10	35		0	0	0	0	3	2	2	0	CA_PROMOTED	TerrainTable_MovCost_MagicNormal
48	CLASS_DRUID_F	Druid F	CLASS_SHAMAN_F	46	39	0	17	7	3	4	3	7	4	6	60	29	26	26	20	29	20	45	55	30	25	10	35		0	0	0	0	0	0	0	0	CA_PROMOTED	TerrainTable_MovCost_MagicNormal
49	CLASS_SUMMONER	Summoner	CLASS_SHAMAN	45	40	0	18	5	3	4	3	5	8	6	60	27	27	26	20	28	20	45	50	30	25	8	35		0	0	0	1	3	1	3	0	CA_PROMOTED | CA_SUMMON	TerrainTable_MovCost_MagicNormal
50	CLASS_SUMMONER_F	Summoner F	CLASS_SHAMAN_F	46	40	0	18	5	3	4	3	5	4	6	60	27	27	26	20	28	20	45	50	30	25	8	35		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_SUMMON	TerrainTable_MovCost_MagicNormal
51	CLASS_ROGUE	Rogue	CLASS_THIEF	13	41	0	16	3	1	9	2	0	7	6	60	20	30	30	20	20	20	50	10	45	35	5	20		0	0	1	1	0	2	2	0	CA_STEAL | CA_THIEF | CA_PROMOTED	TerrainTable_MovCost_ThiefNormal
52	CLASS_GORGONEGG2	Gorgonegg2		0	42	0	50	0	0	0	10	10	6	0	60	30	30	30	30	30	30	100	0	0	0	0	0		0	0	0	0	0	0	0	0		(void *)0x00000000
53	CLASS_GREAT_KNIGHT	Great Knight	CLASS_ARMOR_KNIGHT	9	43	0	21	8	4	6	11	3	13	6	60	28	24	24	29	25	25	70	30	20	15	21	20		0	0	2	1	2	2	1	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_MOUNTED	TerrainTable_MovCost_HorseT2Normal
54	CLASS_GREAT_KNIGHT_F	Great Knight F	CLASS_ARMOR_KNIGHT_F	10	43	0	20	6	6	7	9	3	10	6	60	26	26	25	28	26	25	70	30	25	20	21	22		0	0	1	1	2	2	2	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_MOUNTED	TerrainTable_MovCost_HorseT2Normal
55	CLASS_RECRUIT_T1	Recruit T1	CLASS_RECRUIT_T2	58	44	0	18	5	3	3	6	0	6	5	60	20	20	20	20	20	20	75	45	40	40	25	35		0	0	1	1	1	2	1	0		TerrainTable_MovCost_CommonT1Normal
56	CLASS_JOURNEYMAN_T2	Journeyman T2	CLASS_JOURNEYMAN_T1	126	45	0	28	8	5	6	5	0	8	6	60	26	29	28	23	23	20	85	55	40	32	18	20		0	0	1	2	2	2	2	0	CA_CRITBONUS | CA_PROMOTED	TerrainTable_MovCost_FighterNormal
57	CLASS_PUPIL_T2	Pupil T2	CLASS_PUPIL_T1	127	46	0	20	5	4	4	5	5	5	6	60	29	28	27	21	26	20	55	55	40	35	10	30		0	0	2	0	1	3	3	0	CA_PROMOTED	TerrainTable_MovCost_MagicNormal
58	CLASS_RECRUIT_T2	Recruit T2	CLASS_RECRUIT_T1	55	44	0	23	6	6	11	7	6	6	6	60	23	30	29	22	26	20	75	45	40	40	25	35		0	0	2	1	1	2	1	0	CA_CRITBONUS | CA_PROMOTED	TerrainTable_MovCost_CommonT1Normal
59	CLASS_MANAKETE_2	Manakete 2	CLASS_WYVERN_RIDER	31	47	0	20	0	0	2	1	1	25	3	60	20	20	20	20	20	25	95	40	30	20	0	10		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_LOCK_3	TerrainTable_MovCost_FlyNormal
60	CLASS_MANAKETE_MYRRH	Manakete Myrrh	CLASS_WYVERN_RIDER_F	32	48	0	12	0	0	2	2	2	5	6	60	20	20	20	20	20	20	95	40	30	20	0	10		0	0	0	0	0	0	0	0	CA_LOCK_3	TerrainTable_MovCost_FlyNormal
61	CLASS_JOURNEYMAN	Journeyman		0	45	0	14	3	0	1	1	0	8	4	60	20	20	20	20	20	20	85	55	40	32	18	20		0	0	0	0	0	0	0	0	CA_MAXLEVEL10	TerrainTable_MovCost_FighterNormal
62	CLASS_PUPIL	Pupil		0	46	0	13	1	0	1	0	3	5	4	60	20	20	20	20	20	20	55	55	40	35	10	30		0	0	0	0	0	0	0	0	CA_MAXLEVEL10	TerrainTable_MovCost_MagicNormal
63	CLASS_FIGHTER	Fighter	CLASS_WARRIOR	64	49	0	20	5	2	4	2	0	11	5	60	20	20	20	20	20	20	85	55	35	30	15	15		0	0	2	1	0	0	1	0		TerrainTable_MovCost_FighterNormal
64	CLASS_WARRIOR	Warrior	CLASS_FIGHTER	63	50	0	28	8	5	6	5	0	13	6	60	30	28	26	26	22	25	80	45	25	20	16	17		0	0	1	2	0	3	3	0	CA_PROMOTED	TerrainTable_MovCost_FighterNormal
65	CLASS_BRIGAND	Brigand	CLASS_BERSERKER	67	51	0	20	5	1	5	3	0	12	5	60	20	20	20	20	20	20	82	50	30	20	10	13		0	0	1	1	0	1	1	0		TerrainTable_MovCost_BrigandNormal
66	CLASS_PIRATE	Pirate	CLASS_BERSERKER	67	52	0	19	4	2	6	3	0	10	5	60	20	20	20	20	20	20	75	50	35	25	10	13		0	0	2	0	1	1	0	0		TerrainTable_MovCost_PirateNormal
67	CLASS_BERSERKER	Berserker	CLASS_PIRATE	66	53	0	24	7	6	7	6	0	13	6	60	30	29	28	23	21	25	75	50	35	25	10	13		0	0	1	1	1	2	2	0	CA_CRITBONUS | CA_PROMOTED	TerrainTable_MovCost_BerserkerNormal
68	CLASS_MONK	Monk		0	54	0	18	1	1	2	1	5	6	5	60	20	20	20	20	20	20	50	30	35	32	8	40		0	0	0	0	0	0	0	0		TerrainTable_MovCost_MagicNormal
69	CLASS_PRIEST	Priest	CLASS_SAGE	39	55	0	18	1	1	2	1	5	5	5	60	20	20	20	20	20	20	50	30	35	32	8	50		0	0	0	0	0	0	0	0		TerrainTable_MovCost_MagicNormal
70	CLASS_BARD	Bard		0	56	0	14	1	2	7	1	0	6	5	60	10	10	30	24	26	20	45	45	30	60	0	13		0	0	0	0	0	0	0	0	CA_PLAY	TerrainTable_MovCost_CommonT1Normal
71	CLASS_RECRUIT	Recruit		0	44	0	13	3	0	1	0	1	6	4	60	20	20	20	20	20	20	75	45	40	40	25	35		0	0	0	0	0	0	0	0	CA_MAXLEVEL10	TerrainTable_MovCost_CommonT1Normal
72	CLASS_PEGASUS_KNIGHT	Pegasus Knight	CLASS_FALCON_KNIGHT	73	57	0	14	4	5	5	3	2	5	7	60	20	20	20	20	20	25	65	35	40	40	12	35		0	0	0	0	0	0	0	0	CA_MOUNTEDAID | CA_CANTO | CA_PEGASUS	TerrainTable_MovCost_FlyNormal
73	CLASS_FALCON_KNIGHT	Falcon Knight	CLASS_PEGASUS_KNIGHT	72	58	0	20	6	7	7	5	4	6	8	60	23	25	28	23	26	25	60	30	30	30	12	30		0	0	2	0	2	2	2	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_PEGASUS	TerrainTable_MovCost_FlyNormal
74	CLASS_CLERIC	Cleric	CLASS_BISHOP_F	44	59	0	16	1	2	2	0	6	4	5	60	20	20	20	20	20	20	50	30	35	32	8	50		0	0	0	0	0	0	0	0		TerrainTable_MovCost_MagicNormal
75	CLASS_TROUBADOUR	Troubadour	CLASS_VALKYRIE	76	60	0	15	1	1	3	2	5	5	6	60	20	20	20	20	20	25	50	25	35	55	12	40		0	0	0	0	0	0	0	0	CA_MOUNTEDAID | CA_CANTO | CA_MOUNTED	TerrainTable_MovCost_HorseT1Normal
76	CLASS_VALKYRIE	Valkyrie	CLASS_TROUBADOUR	75	61	0	19	4	3	5	4	8	6	7	60	25	24	25	24	28	25	45	35	25	45	10	40		0	0	2	1	0	2	3	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_MOUNTED	TerrainTable_MovCost_HorseT2Normal
77	CLASS_DANCER	Dancer		0	62	0	14	1	2	7	0	1	4	5	60	10	10	30	24	26	20	45	45	30	60	0	13		0	0	0	0	0	0	0	0	CA_DANCE	TerrainTable_MovCost_CommonT1Normal
78	CLASS_SOLDIER	Soldier		0	63	0	20	3	0	1	0	0	6	5	60	20	20	20	20	20	20	80	50	30	20	12	15		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CommonT1Normal
79	CLASS_NECROMANCER	Necromancer	CLASS_SHAMAN	45	64	0	18	9	4	5	3	8	7	6	80	30	25	25	30	30	25	45	55	30	25	10	35		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_SUMMON	TerrainTable_MovCost_MagicNormal
80	CLASS_FLEET	Fleet		0	65	0	19	1	1	2	5	0	25	3	60	20	20	20	30	20	25	75	35	40	32	15	15		0	0	0	0	0	0	0	0		TerrainTable_MovCost_PirateNormal
81	CLASS_PHANTOM	Phantom		0	66	0	1	5	2	4	0	0	11	5	1	20	20	20	0	0	20	0	55	35	45	15	15		0	0	0	0	0	0	0	0		TerrainTable_MovCost_FlyNormal
82	CLASS_REVENANT	Revenant	CLASS_ENTOUMBED	83	67	0	25	2	0	0	0	0	6	4	60	20	20	20	20	20	20	95	50	30	20	10	13		0	0	0	0	0	0	0	0	CA_LOCK_3	TerrainTable_MovCost_CommonT1Normal
83	CLASS_ENTOUMBED	Entoumbed	CLASS_REVENANT	82	68	0	35	3	0	1	0	0	6	5	80	25	22	21	24	22	25	85	40	25	17	10	13		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_LOCK_3	TerrainTable_MovCost_CommonT1Normal
84	CLASS_BONEWALKER	Bonewalker	CLASS_WIGHT	86	69	0	20	4	2	3	3	0	7	5	60	20	20	20	20	20	20	80	50	30	20	12	15		0	0	0	0	0	0	0	0	CA_LOCK_2	TerrainTable_MovCost_CommonT1Normal
85	CLASS_BONEWALKER_BOW	Bonewalker Bow	CLASS_WIGHT_BOW	87	70	0	18	4	3	2	3	0	6	5	60	20	20	20	20	20	20	70	35	40	32	15	15		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CommonT1Normal
86	CLASS_WIGHT	Wight	CLASS_BONEWALKER	84	71	0	21	7	5	6	5	2	9	6	60	24	28	26	22	23	25	65	25	25	20	15	22		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_LOCK_2	TerrainTable_MovCost_CommonT1Normal
87	CLASS_WIGHT_BOW	Wight Bow	CLASS_BONEWALKER_BOW	85	72	0	21	6	6	5	5	2	8	6	60	25	30	28	25	23	20	65	30	30	20	15	20		0	0	0	0	0	0	0	0	CA_PROMOTED	TerrainTable_MovCost_CommonT1Normal
88	CLASS_BAEL	Bael	CLASS_ELDER_BAEL	89	73	0	25	6	3	3	6	1	12	5	60	30	28	26	26	22	25	82	50	30	20	18	13		0	0	0	0	0	0	0	0	CA_LOCK_3	TerrainTable_MovCost_BrigandNormal
89	CLASS_ELDER_BAEL	Elder Bael	CLASS_BAEL	88	74	0	36	8	5	5	9	4	15	6	80	30	28	26	26	22	25	85	45	25	20	21	17		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_LOCK_3	TerrainTable_MovCost_BrigandNormal
90	CLASS_CYCLOPS	Cyclops	CLASS_ARMOR_KNIGHT	9	75	0	40	8	5	6	13	0	16	5	80	29	29	28	30	25	25	95	30	35	25	24	25		0	0	0	0	0	0	0	0	CA_PROMOTED	TerrainTable_MovCost_FighterNormal
91	CLASS_MAUTHEDOOG	Mauthedoog	CLASS_GWYLLGI	92	76	0	16	4	10	10	2	0	6	7	60	20	20	20	20	20	20	70	35	45	45	15	20		0	0	0	0	0	0	0	0	CA_LOCK_3	TerrainTable_MovCost_AnimalT1Normal
92	CLASS_GWYLLGI	Gwyllgi	CLASS_MAUTHEDOOG	91	77	0	21	6	12	12	5	2	8	8	60	24	29	30	22	23	20	65	28	35	35	16	22		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_LOCK_3	TerrainTable_MovCost_AnimalT2Normal
93	CLASS_TARVOS	Tarvos	CLASS_MAELDUIN	94	78	0	21	6	2	5	7	0	10	7	60	20	20	20	20	20	20	80	35	40	28	15	15		0	0	0	0	0	0	0	0		TerrainTable_MovCost_AnimalT1Normal
94	CLASS_MAELDUIN	Maelduin	CLASS_TARVOS	93	79	0	25	8	4	7	9	3	12	8	80	25	26	24	25	25	25	75	30	30	18	13	20		0	0	0	0	0	0	0	0	CA_PROMOTED	TerrainTable_MovCost_AnimalT2Normal
95	CLASS_MOGALL	Mogall	CLASS_ARCH_MOGALL	96	80	0	15	2	1	2	2	4	4	5	60	20	20	20	20	20	20	50	45	32	30	10	28		0	0	0	0	0	0	0	0	CA_LOCK_3	TerrainTable_MovCost_FlyNormal
96	CLASS_ARCH_MOGALL	Arch Mogall	CLASS_MOGALL	95	81	0	17	6	3	3	3	7	5	6	60	29	26	26	20	29	20	45	55	30	25	10	28		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_LOCK_3	TerrainTable_MovCost_FlyNormal
97	CLASS_GORGON	Gorgon	CLASS_MOGALL	95	82	0	19	8	3	4	5	7	11	6	60	29	26	26	21	28	25	45	60	30	25	10	40		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_LOCK_3	TerrainTable_MovCost_MagicNormal
98	CLASS_GORGONEGG	Gorgonegg		0	83	0	50	0	0	0	10	10	6	0	60	30	30	30	30	30	30	100	0	0	0	0	0		0	0	0	0	0	0	0	0		(void *)0x00000000
99	CLASS_GARGOYLE	Gargoyle	CLASS_DEATHGOYLE	100	84	0	19	6	3	6	6	0	8	6	60	20	20	20	20	20	20	80	45	35	35	25	15		0	0	0	0	0	0	0	0		TerrainTable_MovCost_FlyNormal
100	CLASS_DEATHGOYLE	Deathgoyle	CLASS_GARGOYLE	99	85	0	23	8	5	8	9	1	11	7	60	27	25	23	28	22	25	75	40	30	25	20	17		0	0	0	0	0	0	0	0	CA_PROMOTED	TerrainTable_MovCost_FlyNormal
