id	symbol	name	default_class_symbol	default_class_id	portrait_id	affinity	base_level	baseHP	basePow	baseSkl	baseSpd	baseDef	baseRes	baseLck	baseCon	growthHP	growthPow	growthSkl	growthSpd	growthDef	growthRes	growthLck	attributes	visit_group
35	CHARACTER_LYON_CC	Lyon Cc	CLASS_NECROMANCER	79	70	UNIT_AFFIN_ICE	14	26	13	9	6	14	11	4	0	85	50	55	55	45	55	30		0
36	CHARACTER_ORSON_CC	Orson Cc	CLASS_PALADIN	7	69	UNIT_AFFIN_DARK	13	25	11	11	7	6	8	6	1	80	55	45	40	45	30	25		0
37	CHARACTER_GLEN_CC	Glen Cc	CLASS_WYVERN_LORD	33	75	UNIT_AFFIN_WIND	12	21	11	12	6	8	4	7	1	85	45	50	45	35	40	20		0
38	CHARACTER_SELENA_CC	Selena Cc	CLASS_MAGE_KNIGHT_F	42	63	UNIT_AFFIN_THUNDER	11	19	10	8	10	8	11	10	0	85	40	55	40	20	30	25	CA_FEMALE	0
39	CHARACTER_VALTER_CC	Valter Cc	CLASS_WYVERN_KNIGHT	35	66	UNIT_AFFIN_ICE	13	25	12	10	9	6	11	3	1	80	40	55	50	20	20	15		0
40	CHARACTER_RIEV_CC	Riev Cc	CLASS_BISHOP	43	72	UNIT_AFFIN_DARK	16	28	10	17	15	13	10	9	0	75	45	50	40	20	45	15		0
41	CHARACTER_CAELLACH_CC	Caellach Cc	CLASS_HERO	17	67	UNIT_AFFIN_THUNDER	12	25	13	5	3	7	11	14	2	85	50	45	45	30	20	20		0
42	CHARACTER_FADO_CC	Fado Cc	CLASS_GENERAL	11	81	UNIT_AFFIN_FIRE	11	25	12	10	9	5	8	5	3	85	55	40	30	45	25	25		0
43	CHARACTER_ISMAIRE_CC	Ismaire Cc	CLASS_SWORDMASTER_F	22	86	UNIT_AFFIN_WIND	9	14	10	9	11	4	12	12	0	75	30	60	55	20	25	30	CA_FEMALE	0
44	CHARACTER_HAYDEN_CC	Hayden Cc	CLASS_RANGER	29	82	UNIT_AFFIN_ANIMA	10	16	10	8	8	6	9	17	1	70	40	45	45	25	25	40		0
59	CHARACTER_SUMMON_LYON	Summon Lyon	CLASS_PALADIN	7	0	UNIT_AFFIN_DARK	1	0	3	2	3	0	0	20	0	0	60	45	30	0	0	60		0
62	CHARACTER_SUMMON_KNOLL	Summon Knoll	CLASS_PALADIN	7	0	UNIT_AFFIN_DARK	1	0	2	1	2	0	0	10	0	0	50	50	40	0	0	55		0
63	CHARACTER_SUMMON_EWAN	Summon Ewan	CLASS_PALADIN	7	0	UNIT_AFFIN_DARK	1	0	1	2	1	0	0	0	0	0	70	40	20	0	0	40		0
64	CHARACTER_LYON	Lyon	CLASS_NECROMANCER	79	74	UNIT_AFFIN_ICE	14	26	13	9	6	14	11	4	0	85	50	55	55	45	55	30	CA_BOSS	0
65	CHARACTER_MORVA	Morva	CLASS_MANAKETE_2	59	0	UNIT_AFFIN_WIND	18	42	16	10	11	3	7	7	0	150	100	90	70	160	80	30	CA_BOSS	0
66	CHARACTER_ORSON_CH5X	Orson Ch5X	CLASS_PALADIN	7	69	UNIT_AFFIN_DARK	3	11	8	9	4	5	4	4	1	80	55	45	40	45	30	25	CA_BOSS	0
67	CHARACTER_VALTER	Valter	CLASS_WYVERN_KNIGHT	35	66	UNIT_AFFIN_ICE	13	25	12	10	9	6	11	3	1	80	40	55	50	20	20	15	CA_BOSS	0
68	CHARACTER_SELENA	Selena	CLASS_MAGE_KNIGHT_F	42	63	UNIT_AFFIN_THUNDER	11	19	10	8	10	8	11	10	0	85	40	55	40	20	30	25	CA_FEMALE | CA_BOSS	0
69	CHARACTER_VALTER_PROLOGUE	Valter Prologue	CLASS_WYVERN_KNIGHT	35	66	UNIT_AFFIN_ICE	5	14	6	7	6	3	5	2	1	85	50	10	10	10	15	30	CA_BOSS	0
70	CHARACTER_BREGUET	Breguet	CLASS_ARMOR_KNIGHT	9	49	UNIT_AFFIN_THUNDER	4	3	3	0	1	0	0	2	0	85	50	10	10	10	15	30	CA_BOSS	0
71	CHARACTER_BONE	Bone	CLASS_BRIGAND	65	50	UNIT_AFFIN_ICE	4	3	1	3	0	1	0	0	0	85	50	10	10	10	15	30	CA_BOSS	0
72	CHARACTER_BAZBA	Bazba	CLASS_BRIGAND	65	51	UNIT_AFFIN_FIRE	6	5	3	4	2	2	2	1	0	85	50	10	10	10	15	30	CA_BOSS	0
73	CHARACTER_ENTOUMBED_CH4	Entoumbed Ch4	CLASS_ENTOUMBED	83	0	UNIT_AFFIN_DARK	6	0	0	0	0	0	0	0	0	85	50	10	10	10	15	30	CA_BOSS	0
74	CHARACTER_SAAR	Saar	CLASS_ARMOR_KNIGHT	9	52	UNIT_AFFIN_ANIMA	8	13	6	5	3	2	3	4	0	85	50	10	10	10	15	30	CA_BOSS	0
75	CHARACTER_NOVALA	Novala	CLASS_SHAMAN	45	54	UNIT_AFFIN_FIRE	10	12	8	7	4	3	5	7	0	85	50	10	10	10	15	30	CA_BOSS	0
76	CHARACTER_MURRAY	Murray	CLASS_CAVALIER	5	55	UNIT_AFFIN_LIGHT	12	12	3	7	5	1	6	7	0	85	50	10	10	10	15	30	CA_BOSS	0
77	CHARACTER_TIRADO	Tirado	CLASS_GENERAL	11	56	UNIT_AFFIN_ANIMA	1	19	5	4	2	1	5	2	0	85	50	10	10	10	15	30	CA_BOSS	0
78	CHARACTER_BINKS	Binks	CLASS_WARRIOR	64	57	UNIT_AFFIN_DARK	5	14	8	5	2	7	8	3	0	85	50	10	10	10	15	30	CA_BOSS	0
79	CHARACTER_PABLO	Pablo	CLASS_SAGE	39	58	UNIT_AFFIN_ICE	7	16	8	5	8	2	12	9	0	85	50	25	35	15	15	30	CA_BOSS	0
81	CHARACTER_AIAS	Aias	CLASS_GREAT_KNIGHT	53	59	UNIT_AFFIN_ANIMA	10	25	10	7	4	8	9	11	1	85	50	35	35	25	15	30	CA_BOSS	0
82	CHARACTER_CARLYLE	Carlyle	CLASS_SWORDMASTER	21	60	UNIT_AFFIN_FIRE	11	20	6	6	8	4	8	8	0	85	65	10	10	20	20	30	CA_BOSS	0
83	CHARACTER_CAELLACH	Caellach	CLASS_HERO	17	67	UNIT_AFFIN_THUNDER	12	25	13	5	3	7	11	14	2	85	50	45	45	30	20	20	CA_BOSS	0
84	CHARACTER_PABLO_2	Pablo 2	CLASS_SAGE	39	58	UNIT_AFFIN_ICE	7	14	8	5	8	2	12	9	0	85	50	10	10	10	15	30		0
87	CHARACTER_RIEV	Riev	CLASS_BISHOP	43	72	UNIT_AFFIN_DARK	16	28	10	17	15	13	10	9	0	75	45	50	40	20	45	15	CA_BOSS	0
90	CHARACTER_GHEB	Gheb	CLASS_WARRIOR	64	61	UNIT_AFFIN_THUNDER	5	17	10	3	0	8	5	1	3	85	50	10	10	10	15	30	CA_BOSS	0
91	CHARACTER_BERAN	Beran	CLASS_RANGER	29	62	UNIT_AFFIN_ICE	7	22	8	7	7	8	9	6	0	85	50	35	35	25	15	30	CA_BOSS	0
102	CHARACTER_BANDIT_CH5	Bandit Ch5	CLASS_BRIGAND	65	76	UNIT_AFFIN_THUNDER	1	2	2	2	2	2	2	2	0	60	20	30	35	15	15	25		0
104	CHARACTER_ONEILL	Oneill	CLASS_FIGHTER	63	48	UNIT_AFFIN_FIRE	4	3	1	2	3	0	0	0	0	85	50	10	10	10	15	30	CA_BOSS	0
105	CHARACTER_GLEN	Glen	CLASS_WYVERN_LORD	33	75	UNIT_AFFIN_WIND	12	21	11	12	6	8	4	7	1	85	50	10	10	10	15	30	CA_BOSS	0
106	CHARACTER_ZONTA	Zonta	CLASS_MERCENARY	15	53	UNIT_AFFIN_LIGHT	8	7	5	0	1	2	6	4	0	85	50	10	10	10	15	30	CA_BOSS	0
107	CHARACTER_VIGARDE	Vigarde	CLASS_GENERAL	11	64	UNIT_AFFIN_ANIMA	13	31	13	10	8	7	9	9	2	85	50	10	10	10	15	30	CA_BOSS	0
108	CHARACTER_LYON_FINAL	Lyon Final	CLASS_NECROMANCER	79	74	UNIT_AFFIN_ICE	18	55	20	15	10	23	21	9	0	60	20	30	35	15	15	25	CA_BOSS	0
109	CHARACTER_ORSON	Orson	CLASS_PALADIN	7	68	UNIT_AFFIN_DARK	13	25	11	11	7	6	8	6	1	60	20	30	35	15	15	25	CA_BOSS	0
131	CHARACTER_SOLDIER_83	Soldier 83	CLASS_SOLDIER	78	0		1	0	0	0	0	0	0	0	0	60	20	30	35	15	15	25		0
186	CHARACTER_MONSTER_BA	Monster Ba	CLASS_GORGONEGG	98	0	UNIT_AFFIN_DARK	1	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0		0
190	CHARACTER_FOMORTIIS	Fomortiis	CLASS_DEMON_KING	102	0	UNIT_AFFIN_DARK	20	0	0	0	0	0	0	10	0	60	20	30	35	15	15	25	CA_BOSS	0
192	CHARACTER_FRELIAN	Frelian	CLASS_MYRMIDON	19	0		1	0	0	0	0	0	0	0	0	85	40	50	45	25	25	20		0
197	CHARACTER_FADO	Fado	CLASS_SAGE	39	81	UNIT_AFFIN_FIRE	5	13	8	6	8	2	12	10	3	85	40	50	45	25	25	20		0
199	CHARACTER_HAYDEN	Hayden	CLASS_PEER	115	82	UNIT_AFFIN_ANIMA	1	0	0	0	0	0	0	0	1	85	40	50	45	25	25	20		0
200	CHARACTER_MANSEL	Mansel	CLASS_PONTIFEX	122	83	UNIT_AFFIN_LIGHT	17	11	11	3	2	5	8	17	0	85	40	50	45	25	25	20		0
201	CHARACTER_KLIMT	Klimt	CLASS_BISHOP	43	84	UNIT_AFFIN_ANIMA	1	0	0	0	0	0	0	0	0	85	40	50	45	25	25	20		0
202	CHARACTER_DARA	Dara	CLASS_DRUID	47	85	UNIT_AFFIN_DARK	1	0	0	0	0	0	0	0	0	85	40	50	45	25	25	20		0
203	CHARACTER_ISMAIRE	Ismaire	CLASS_QUEEN	116	86	UNIT_AFFIN_WIND	4	14	10	9	11	4	12	12	0	75	30	60	55	20	25	30	CA_FEMALE	0
204	CHARACTER_MESSENGER	Messenger	CLASS_PEGASUS_KNIGHT	72	105	UNIT_AFFIN_WIND	1	3	2	2	5	0	2	7	0	85	40	50	45	25	25	20	CA_FEMALE	0
252	CHARACTER_CITIZEN	Citizen	CLASS_CIVILIAN_M3	113	0		1	0	0	0	0	2	0	0	0	85	25	60	10	15	15	25		3
253	CHARACTER_ARENA_OPPONENT	Arena Opponent	CLASS_BRIGAND	65	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0
