visual_id	visual_enum	asset_key	animation_id	animation	frames	ticks
14	BlstLongUsed	Blst_Long_Used	3	up	12,13,14,15	13,6,13,6
14	BlstLongUsed	Blst_Long_Used	4	selected	16,17,18,17	20,4,20,4
15	BlstRegularUsed	Blst_Regular_Used	0	left	0,1,2,3	13,6,13,6
15	BlstRegularUsed	Blst_Regular_Used	1	right	4,5,6,7	13,6,13,6
15	BlstRegularUsed	Blst_Regular_Used	2	down	8,9,10,11	13,6,13,6
15	BlstRegularUsed	Blst_Regular_Used	3	up	12,13,14,15	13,6,13,6
15	BlstRegularUsed	Blst_Regular_Used	4	selected	16,17,18,17	20,4,20,4
16	BlstUsedEmpty	Blst_Used_Empty	0	left	0,1,2,3	13,6,13,6
16	BlstUsedEmpty	Blst_Used_Empty	1	right	4,5,6,7	13,6,13,6
16	BlstUsedEmpty	Blst_Used_Empty	2	down	8,9,10,11	13,6,13,6
16	BlstUsedEmpty	Blst_Used_Empty	3	up	12,13,14,15	13,6,13,6
16	BlstUsedEmpty	Blst_Used_Empty	4	selected	16,17,18,17	20,4,20,4
17	Bonewalker	Bonewalker	0	left	0,1,2,3	13,6,13,6
17	Bonewalker	Bonewalker	1	right	4,5,6,7	13,6,13,6
17	Bonewalker	Bonewalker	2	down	8,9,10,11	13,6,13,6
17	Bonewalker	Bonewalker	3	up	12,13,14,15	13,6,13,6
17	Bonewalker	Bonewalker	4	selected	16,17,18,17	20,4,20,4
18	BonewalkerBow	Bonewalker_Bow	0	left	0,1,2,3	13,6,13,6
18	BonewalkerBow	Bonewalker_Bow	1	right	4,5,6,7	13,6,13,6
18	BonewalkerBow	Bonewalker_Bow	2	down	8,9,10,11	13,6,13,6
18	BonewalkerBow	Bonewalker_Bow	3	up	12,13,14,15	13,6,13,6
18	BonewalkerBow	Bonewalker_Bow	4	selected	16,17,18,17	20,4,20,4
19	Brigand	Brigand	0	left	0,1,2,3	13,6,13,6
19	Brigand	Brigand	1	right	4,5,6,7	13,6,13,6
19	Brigand	Brigand	2	down	8,9,10,11	13,6,13,6
19	Brigand	Brigand	3	up	12,13,14,15	13,6,13,6
19	Brigand	Brigand	4	selected	16,17,18,17	20,4,20,4
20	Cavalier	Cavalier	0	left	0,1,2,3	13,6,13,6
20	Cavalier	Cavalier	1	right	4,5,6,7	13,6,13,6
20	Cavalier	Cavalier	2	down	8,9,10,11	13,6,13,6
20	Cavalier	Cavalier	3	up	12,13,14,15	13,6,13,6
20	Cavalier	Cavalier	4	selected	16,17,18,17	20,4,20,4
21	CivilianF1	Civilian_F1	0	left	0,1,2,3	13,6,13,6
21	CivilianF1	Civilian_F1	1	right	4,5,6,7	13,6,13,6
21	CivilianF1	Civilian_F1	2	down	8,9,10,11	13,6,13,6
21	CivilianF1	Civilian_F1	3	up	12,13,14,15	13,6,13,6
21	CivilianF1	Civilian_F1	4	selected	16,17,18,17	20,4,20,4
22	CivilianF2	Civilian_F2	0	left	0,1,2,3	13,6,13,6
22	CivilianF2	Civilian_F2	1	right	4,5,6,7	13,6,13,6
22	CivilianF2	Civilian_F2	2	down	8,9,10,11	13,6,13,6
22	CivilianF2	Civilian_F2	3	up	12,13,14,15	13,6,13,6
22	CivilianF2	Civilian_F2	4	selected	16,17,18,17	20,4,20,4
23	CivilianM1	Civilian_M1	0	left	0,1,2,3	13,6,13,6
23	CivilianM1	Civilian_M1	1	right	4,5,6,7	13,6,13,6
23	CivilianM1	Civilian_M1	2	down	8,9,10,11	13,6,13,6
23	CivilianM1	Civilian_M1	3	up	12,13,14,15	13,6,13,6
23	CivilianM1	Civilian_M1	4	selected	16,17,18,17	20,4,20,4
24	CivilianM2	Civilian_M2	0	left	0,1,2,3	13,6,13,6
24	CivilianM2	Civilian_M2	1	right	4,5,6,7	13,6,13,6
24	CivilianM2	Civilian_M2	2	down	8,9,10,11	13,6,13,6
24	CivilianM2	Civilian_M2	3	up	12,13,14,15	13,6,13,6
24	CivilianM2	Civilian_M2	4	selected	16,17,18,17	20,4,20,4
25	Cleric	Cleric	0	left	0,1,2,3	13,6,13,6
25	Cleric	Cleric	1	right	4,5,6,7	13,6,13,6
25	Cleric	Cleric	2	down	8,9,10,11	13,6,13,6
25	Cleric	Cleric	3	up	12,13,14,15	13,6,13,6
25	Cleric	Cleric	4	selected	16,17,18,17	20,4,20,4
26	Cyclops	Cyclops	0	left	0,1,2,3	13,6,13,6
26	Cyclops	Cyclops	1	right	4,5,6,7	13,6,13,6
26	Cyclops	Cyclops	2	down	8,9,10,11	13,6,13,6
26	Cyclops	Cyclops	3	up	12,13,14,15	13,6,13,6
26	Cyclops	Cyclops	4	selected	16,17,18,17	20,4,20,4
27	Dancer	Dancer	0	left	0,1,2,3	13,6,13,6
27	Dancer	Dancer	1	right	4,5,6,7	13,6,13,6
27	Dancer	Dancer	2	down	8,9,10,11	13,6,13,6
27	Dancer	Dancer	3	up	12,13,14,15	13,6,13,6
27	Dancer	Dancer	4	selected	16,17,18,17	20,4,20,4
27	Dancer	Dancer	5	action_5	0,12,14,5,7,8,9,20,19,20,21,0	5,3,2,3,2,3,2,3,15,3,1,0
27	Dancer	Dancer	6	action_6	0,12,14,5,7,8,9,20,19,0	5,3,2,3,2,3,2,3,1,0
28	Deathgoyle	Deathgoyle	0	left	0,1,2,3	13,6,13,6
28	Deathgoyle	Deathgoyle	1	right	4,5,6,7	13,6,13,6
28	Deathgoyle	Deathgoyle	2	down	8,9,10,11	13,6,13,6
28	Deathgoyle	Deathgoyle	3	up	12,13,14,15	13,6,13,6
28	Deathgoyle	Deathgoyle	4	selected	16,17,18,17	20,4,20,4
29	DemonKing	Demon_King	0	left	0,1,2,3	16,10,16,10
29	DemonKing	Demon_King	1	right	4,5,6,7	16,10,16,10
29	DemonKing	Demon_King	2	down	8,9,10,11	16,10,16,10
29	DemonKing	Demon_King	3	up	12,13,14,15	16,10,16,10
29	DemonKing	Demon_King	4	selected	16,17,18,17	20,4,20,4
30	DracoZombie	Draco_Zombie	0	left	0,1,2,3	18,10,18,10
30	DracoZombie	Draco_Zombie	1	right	4,5,6,7	18,10,18,10
30	DracoZombie	Draco_Zombie	2	down	8,9,10,11	18,10,18,10
30	DracoZombie	Draco_Zombie	3	up	12,13,14,15	18,10,18,10
30	DracoZombie	Draco_Zombie	4	selected	16,17,18,17	20,4,20,4
31	Druid	Druid	0	left	0,1,2,3	13,6,13,6
31	Druid	Druid	1	right	4,5,6,7	13,6,13,6
31	Druid	Druid	2	down	8,9,10,11	13,6,13,6
31	Druid	Druid	3	up	12,13,14,15	13,6,13,6
31	Druid	Druid	4	selected	16,17,18,17	20,4,20,4
32	EirikaLord	Eirika_Lord	0	left	0,1,2,3	13,6,13,6
32	EirikaLord	Eirika_Lord	1	right	4,5,6,7	13,6,13,6
32	EirikaLord	Eirika_Lord	2	down	8,9,10,11	13,6,13,6
32	EirikaLord	Eirika_Lord	3	up	12,13,14,15	13,6,13,6
32	EirikaLord	Eirika_Lord	4	selected	16,17,18,17	20,4,20,4
33	EirikaMasterLord	Eirika_Master_Lord	0	left	0,1,2,3	13,6,13,6
33	EirikaMasterLord	Eirika_Master_Lord	1	right	4,5,6,7	13,6,13,6
33	EirikaMasterLord	Eirika_Master_Lord	2	down	8,9,10,11	13,6,13,6
33	EirikaMasterLord	Eirika_Master_Lord	3	up	12,13,14,15	13,6,13,6
33	EirikaMasterLord	Eirika_Master_Lord	4	selected	16,17,18,17	20,4,20,4
34	ElderBael	Elder_Bael	0	left	0,1,2,3	13,6,13,6
34	ElderBael	Elder_Bael	1	right	4,5,6,7	13,6,13,6
34	ElderBael	Elder_Bael	2	down	8,9,10,11	13,6,13,6
34	ElderBael	Elder_Bael	3	up	12,13,14,15	13,6,13,6
34	ElderBael	Elder_Bael	4	selected	16,17,18,17	20,4,20,4
35	Entoumbed	Entoumbed	0	left	0,1,2,3	13,6,13,6
35	Entoumbed	Entoumbed	1	right	4,5,6,7	13,6,13,6
35	Entoumbed	Entoumbed	2	down	8,9,10,11	13,6,13,6
35	Entoumbed	Entoumbed	3	up	12,13,14,15	13,6,13,6
35	Entoumbed	Entoumbed	4	selected	16,17,18,17	20,4,20,4
36	EphraimLord	Ephraim_Lord	0	left	0,1,2,3	13,6,13,6
36	EphraimLord	Ephraim_Lord	1	right	4,5,6,7	13,6,13,6
36	EphraimLord	Ephraim_Lord	2	down	8,9,10,11	13,6,13,6
36	EphraimLord	Ephraim_Lord	3	up	12,13,14,15	13,6,13,6
36	EphraimLord	Ephraim_Lord	4	selected	16,17,18,17	20,4,20,4
37	EphraimMasterLord	Ephraim_Master_Lord	0	left	0,1,2,3	13,6,13,6
37	EphraimMasterLord	Ephraim_Master_Lord	1	right	4,5,6,7	13,6,13,6
37	EphraimMasterLord	Ephraim_Master_Lord	2	down	8,9,10,11	13,6,13,6
37	EphraimMasterLord	Ephraim_Master_Lord	3	up	12,13,14,15	13,6,13,6
37	EphraimMasterLord	Ephraim_Master_Lord	4	selected	16,17,18,17	20,4,20,4
38	FalconKnight	Falcon_Knight	0	left	0,1,2,3	13,6,13,6
38	FalconKnight	Falcon_Knight	1	right	4,5,6,7	13,6,13,6
38	FalconKnight	Falcon_Knight	2	down	8,9,10,11	13,6,13,6
38	FalconKnight	Falcon_Knight	3	up	12,13,14,15	13,6,13,6
38	FalconKnight	Falcon_Knight	4	selected	16,17,18,17	20,4,20,4
39	FallenPeer	Fallen_Peer	0	left	0,1,2,3	13,6,13,6
39	FallenPeer	Fallen_Peer	1	right	4,5,6,7	13,6,13,6
39	FallenPeer	Fallen_Peer	2	down	8,9,10,11	13,6,13,6
39	FallenPeer	Fallen_Peer	3	up	12,13,14,15	13,6,13,6
39	FallenPeer	Fallen_Peer	4	selected	16,17,18,17	20,4,20,4
40	FallenPrince	Fallen_Prince	0	left	0,1,2,3	13,6,13,6
40	FallenPrince	Fallen_Prince	1	right	4,5,6,7	13,6,13,6
40	FallenPrince	Fallen_Prince	2	down	8,9,10,11	13,6,13,6
40	FallenPrince	Fallen_Prince	3	up	12,13,14,15	13,6,13,6
40	FallenPrince	Fallen_Prince	4	selected	16,17,18,17	20,4,20,4
41	Fighter	Fighter	0	left	0,1,2,3	13,6,13,6
41	Fighter	Fighter	1	right	4,5,6,7	13,6,13,6
41	Fighter	Fighter	2	down	8,9,10,11	13,6,13,6
41	Fighter	Fighter	3	up	12,13,14,15	13,6,13,6
41	Fighter	Fighter	4	selected	16,17,18,17	20,4,20,4
42	Fleet	Fleet	0	left	0,1,2,3	13,6,13,6
42	Fleet	Fleet	1	right	4,5,6,7	13,6,13,6
42	Fleet	Fleet	2	down	8,9,10,11	13,6,13,6
42	Fleet	Fleet	3	up	12,13,14,15	13,6,13,6
42	Fleet	Fleet	4	selected	16,17,18,17	20,4,20,4
43	Gargoyle	Gargoyle	0	left	0,1,2,3	13,6,13,6
43	Gargoyle	Gargoyle	1	right	4,5,6,7	13,6,13,6
43	Gargoyle	Gargoyle	2	down	8,9,10,11	13,6,13,6
43	Gargoyle	Gargoyle	3	up	12,13,14,15	13,6,13,6
43	Gargoyle	Gargoyle	4	selected	16,17,18,17	20,4,20,4
44	General	General	0	left	0,1,2,3	13,6,13,6
44	General	General	1	right	4,5,6,7	13,6,13,6
44	General	General	2	down	8,9,10,11	13,6,13,6
44	General	General	3	up	12,13,14,15	13,6,13,6
44	General	General	4	selected	16,17,18,17	20,4,20,4
45	Gorgon	Gorgon	0	left	0,1,2,3	13,6,13,6
45	Gorgon	Gorgon	1	right	4,5,6,7	13,6,13,6
45	Gorgon	Gorgon	2	down	8,9,10,11	13,6,13,6
45	Gorgon	Gorgon	3	up	12,13,14,15	13,6,13,6
45	Gorgon	Gorgon	4	selected	16,17,18,17	20,4,20,4
46	Gorgonegg	Gorgonegg	0	left	0,1,2,3	13,6,13,6
46	Gorgonegg	Gorgonegg	1	right	4,5,6,7	13,6,13,6
46	Gorgonegg	Gorgonegg	2	down	8,9,10,11	13,6,13,6
46	Gorgonegg	Gorgonegg	3	up	12,13,14,15	13,6,13,6
46	Gorgonegg	Gorgonegg	4	selected	16,17,18,17	20,4,20,4
47	Gorgonegg2	Gorgonegg2	0	left	0,1,2,3	13,6,13,6
47	Gorgonegg2	Gorgonegg2	1	right	4,5,6,7	13,6,13,6
47	Gorgonegg2	Gorgonegg2	2	down	8,9,10,11	13,6,13,6
47	Gorgonegg2	Gorgonegg2	3	up	12,13,14,15	13,6,13,6
47	Gorgonegg2	Gorgonegg2	4	selected	16,17,18,17	20,4,20,4
48	GreatKnight	Great_Knight	0	left	0,1,2,3	13,6,13,6
48	GreatKnight	Great_Knight	1	right	4,5,6,7	13,6,13,6
48	GreatKnight	Great_Knight	2	down	8,9,10,11	13,6,13,6
48	GreatKnight	Great_Knight	3	up	12,13,14,15	13,6,13,6
48	GreatKnight	Great_Knight	4	selected	16,17,18,17	20,4,20,4
49	Gwyllgi	Gwyllgi	0	left	0,1,2,3	13,6,13,6
49	Gwyllgi	Gwyllgi	1	right	4,5,6,7	13,6,13,6
49	Gwyllgi	Gwyllgi	2	down	8,9,10,11	13,6,13,6
49	Gwyllgi	Gwyllgi	3	up	12,13,14,15	13,6,13,6
49	Gwyllgi	Gwyllgi	4	selected	16,17,18,17	20,4,20,4
50	Hero	Hero	0	left	0,1,2,3	13,6,13,6
50	Hero	Hero	1	right	4,5,6,7	13,6,13,6
50	Hero	Hero	2	down	8,9,10,11	13,6,13,6
50	Hero	Hero	3	up	12,13,14,15	13,6,13,6
50	Hero	Hero	4	selected	16,17,18,17	20,4,20,4
51	HeroF	Hero_F	0	left	0,1,2,3	13,6,13,6
51	HeroF	Hero_F	1	right	4,5,6,7	13,6,13,6
51	HeroF	Hero_F	2	down	8,9,10,11	13,6,13,6
51	HeroF	Hero_F	3	up	12,13,14,15	13,6,13,6
51	HeroF	Hero_F	4	selected	16,17,18,17	20,4,20,4
52	JourneymanT2	Journeyman_T2	0	left	0,1,2,3	13,6,13,6
52	JourneymanT2	Journeyman_T2	1	right	4,5,6,7	13,6,13,6
52	JourneymanT2	Journeyman_T2	2	down	8,9,10,11	13,6,13,6
52	JourneymanT2	Journeyman_T2	3	up	12,13,14,15	13,6,13,6
52	JourneymanT2	Journeyman_T2	4	selected	16,17,18,17	20,4,20,4
53	Maelduin	Maelduin	0	left	0,1,2,3	13,6,13,6
53	Maelduin	Maelduin	1	right	4,5,6,7	13,6,13,6
53	Maelduin	Maelduin	2	down	8,9,10,11	13,6,13,6
53	Maelduin	Maelduin	3	up	12,13,14,15	13,6,13,6
53	Maelduin	Maelduin	4	selected	16,17,18,17	20,4,20,4
54	Mage	Mage	0	left	0,1,2,3	13,6,13,6
54	Mage	Mage	1	right	4,5,6,7	13,6,13,6
54	Mage	Mage	2	down	8,9,10,11	13,6,13,6
54	Mage	Mage	3	up	12,13,14,15	13,6,13,6
54	Mage	Mage	4	selected	16,17,18,17	20,4,20,4
55	MageF	Mage_F	0	left	0,1,2,3	13,6,13,6
55	MageF	Mage_F	1	right	4,5,6,7	13,6,13,6
55	MageF	Mage_F	2	down	8,9,10,11	13,6,13,6
55	MageF	Mage_F	3	up	12,13,14,15	13,6,13,6
55	MageF	Mage_F	4	selected	16,17,18,17	20,4,20,4
56	MageKnight	Mage_Knight	0	left	0,1,2,3	13,6,13,6
56	MageKnight	Mage_Knight	1	right	4,5,6,7	13,6,13,6
56	MageKnight	Mage_Knight	2	down	8,9,10,11	13,6,13,6
56	MageKnight	Mage_Knight	3	up	12,13,14,15	13,6,13,6
56	MageKnight	Mage_Knight	4	selected	16,17,18,17	20,4,20,4
57	MageKnightF	Mage_Knight_F	0	left	0,1,2,3	13,6,13,6
57	MageKnightF	Mage_Knight_F	1	right	4,5,6,7	13,6,13,6
57	MageKnightF	Mage_Knight_F	2	down	8,9,10,11	13,6,13,6
57	MageKnightF	Mage_Knight_F	3	up	12,13,14,15	13,6,13,6
57	MageKnightF	Mage_Knight_F	4	selected	16,17,18,17	20,4,20,4
58	Manakete	Manakete	0	left	0,1,2,3	13,6,13,6
58	Manakete	Manakete	1	right	4,5,6,7	13,6,13,6
58	Manakete	Manakete	2	down	8,9,10,11	13,6,13,6
58	Manakete	Manakete	3	up	12,13,14,15	13,6,13,6
58	Manakete	Manakete	4	selected	16,17,18,17	20,4,20,4
59	Manakete2	Manakete_2	0	left	0,1,2,3	13,6,13,6
59	Manakete2	Manakete_2	1	right	4,5,6,7	13,6,13,6
59	Manakete2	Manakete_2	2	down	8,9,10,11	13,6,13,6
59	Manakete2	Manakete_2	3	up	12,13,14,15	13,6,13,6
59	Manakete2	Manakete_2	4	selected	16,17,18,17	20,4,20,4
60	ManaketeMyrrh	Manakete_Myrrh	0	left	0,1,2,3	13,6,13,6
60	ManaketeMyrrh	Manakete_Myrrh	1	right	4,5,6,7	13,6,13,6
60	ManaketeMyrrh	Manakete_Myrrh	2	down	8,9,10,11	13,6,13,6
60	ManaketeMyrrh	Manakete_Myrrh	3	up	12,13,14,15	13,6,13,6
60	ManaketeMyrrh	Manakete_Myrrh	4	selected	16,17,18,17	20,4,20,4
61	Mauthedoog	Mauthedoog	0	left	0,1,2,3	13,6,13,6
61	Mauthedoog	Mauthedoog	1	right	4,5,6,7	13,6,13,6
61	Mauthedoog	Mauthedoog	2	down	8,9,10,11	13,6,13,6
61	Mauthedoog	Mauthedoog	3	up	12,13,14,15	13,6,13,6
61	Mauthedoog	Mauthedoog	4	selected	16,17,18,17	20,4,20,4
62	Mercenary	Mercenary	0	left	0,1,2,3	13,6,13,6
62	Mercenary	Mercenary	1	right	4,5,6,7	13,6,13,6
62	Mercenary	Mercenary	2	down	8,9,10,11	13,6,13,6
62	Mercenary	Mercenary	3	up	12,13,14,15	13,6,13,6
62	Mercenary	Mercenary	4	selected	16,17,18,17	20,4,20,4
63	MercenaryF	Mercenary_F	0	left	0,1,2,3	13,6,13,6
63	MercenaryF	Mercenary_F	1	right	4,5,6,7	13,6,13,6
63	MercenaryF	Mercenary_F	2	down	8,9,10,11	13,6,13,6
63	MercenaryF	Mercenary_F	3	up	12,13,14,15	13,6,13,6
63	MercenaryF	Mercenary_F	4	selected	16,17,18,17	20,4,20,4
64	Mogall	Mogall	0	left	0,1,2,3	13,6,13,6
64	Mogall	Mogall	1	right	4,5,6,7	13,6,13,6
64	Mogall	Mogall	2	down	8,9,10,11	13,6,13,6
64	Mogall	Mogall	3	up	12,13,14,15	13,6,13,6
64	Mogall	Mogall	4	selected	16,17,18,17	20,4,20,4
65	Monk	Monk	0	left	0,1,2,3	13,6,13,6
65	Monk	Monk	1	right	4,5,6,7	13,6,13,6
65	Monk	Monk	2	down	8,9,10,11	13,6,13,6
65	Monk	Monk	3	up	12,13,14,15	13,6,13,6
65	Monk	Monk	4	selected	16,17,18,17	20,4,20,4
66	Myrmidon	Myrmidon	0	left	0,1,2,3	13,6,13,6
66	Myrmidon	Myrmidon	1	right	4,5,6,7	13,6,13,6
66	Myrmidon	Myrmidon	2	down	8,9,10,11	13,6,13,6
66	Myrmidon	Myrmidon	3	up	12,13,14,15	13,6,13,6
66	Myrmidon	Myrmidon	4	selected	16,17,18,17	20,4,20,4
67	MyrmidonF	Myrmidon_F	0	left	0,1,2,3	13,6,13,6
67	MyrmidonF	Myrmidon_F	1	right	4,5,6,7	13,6,13,6
67	MyrmidonF	Myrmidon_F	2	down	8,9,10,11	13,6,13,6
67	MyrmidonF	Myrmidon_F	3	up	12,13,14,15	13,6,13,6
67	MyrmidonF	Myrmidon_F	4	selected	16,17,18,17	20,4,20,4
68	Necromancer	Necromancer	0	left	0,1,2,3	13,6,13,6
68	Necromancer	Necromancer	1	right	4,5,6,7	13,6,13,6
68	Necromancer	Necromancer	2	down	8,9,10,11	13,6,13,6
68	Necromancer	Necromancer	3	up	12,13,14,15	13,6,13,6
68	Necromancer	Necromancer	4	selected	16,17,18,17	20,4,20,4
69	Paladin	Paladin	0	left	0,1,2,3	13,6,13,6
69	Paladin	Paladin	1	right	4,5,6,7	13,6,13,6
69	Paladin	Paladin	2	down	8,9,10,11	13,6,13,6
69	Paladin	Paladin	3	up	12,13,14,15	13,6,13,6
69	Paladin	Paladin	4	selected	16,17,18,17	20,4,20,4
70	Peer	Peer	0	left	0,1,2,3	13,6,13,6
70	Peer	Peer	1	right	4,5,6,7	13,6,13,6
70	Peer	Peer	2	down	8,9,10,11	13,6,13,6
70	Peer	Peer	3	up	12,13,14,15	13,6,13,6
70	Peer	Peer	4	selected	16,17,18,17	20,4,20,4
71	PegasusKnight	Pegasus_Knight	0	left	0,1,2,3	13,6,13,6
71	PegasusKnight	Pegasus_Knight	1	right	4,5,6,7	13,6,13,6
71	PegasusKnight	Pegasus_Knight	2	down	8,9,10,11	13,6,13,6
71	PegasusKnight	Pegasus_Knight	3	up	12,13,14,15	13,6,13,6
71	PegasusKnight	Pegasus_Knight	4	selected	16,17,18,17	20,4,20,4
72	Phantom	Phantom	0	left	0,1,2,3	13,6,13,6
72	Phantom	Phantom	1	right	4,5,6,7	13,6,13,6
72	Phantom	Phantom	2	down	8,9,10,11	13,6,13,6
72	Phantom	Phantom	3	up	12,13,14,15	13,6,13,6
72	Phantom	Phantom	4	selected	16,17,18,17	20,4,20,4
73	Pirate	Pirate	0	left	0,1,2,3	13,6,13,6
73	Pirate	Pirate	1	right	4,5,6,7	13,6,13,6
73	Pirate	Pirate	2	down	8,9,10,11	13,6,13,6
73	Pirate	Pirate	3	up	12,13,14,15	13,6,13,6
73	Pirate	Pirate	4	selected	16,17,18,17	20,4,20,4
74	Pontifex	Pontifex	0	left	0,1,2,3	13,6,13,6
74	Pontifex	Pontifex	1	right	4,5,6,7	13,6,13,6
74	Pontifex	Pontifex	2	down	8,9,10,11	13,6,13,6
74	Pontifex	Pontifex	3	up	12,13,14,15	13,6,13,6
74	Pontifex	Pontifex	4	selected	16,17,18,17	20,4,20,4
75	Priest	Priest	0	left	0,1,2,3	13,6,13,6
75	Priest	Priest	1	right	4,5,6,7	13,6,13,6
75	Priest	Priest	2	down	8,9,10,11	13,6,13,6
75	Priest	Priest	3	up	12,13,14,15	13,6,13,6
75	Priest	Priest	4	selected	16,17,18,17	20,4,20,4
76	Prince	Prince	0	left	0,1,2,3	13,6,13,6
76	Prince	Prince	1	right	4,5,6,7	13,6,13,6
76	Prince	Prince	2	down	8,9,10,11	13,6,13,6
76	Prince	Prince	3	up	12,13,14,15	13,6,13,6
