class_id	class_symbol	visual_id	visual_enum	asset_key
35	CLASS_WYVERN_KNIGHT	103	WyvernKnightF	Wyvern_Knight_F
36	CLASS_WYVERN_KNIGHT_F	103	WyvernKnightF	Wyvern_Knight_F
37	CLASS_MAGE	54	Mage	Mage
38	CLASS_MAGE_F	55	MageF	Mage_F
39	CLASS_SAGE	84	Sage	Sage
40	CLASS_SAGE_F	85	SageF	Sage_F
41	CLASS_MAGE_KNIGHT	56	MageKnight	Mage_Knight
42	CLASS_MAGE_KNIGHT_F	57	MageKnightF	Mage_Knight_F
43	CLASS_BISHOP	9	Bishop	Bishop
44	CLASS_BISHOP_F	10	BishopF	Bishop_F
45	CLASS_SHAMAN	86	Shaman	Shaman
46	CLASS_SHAMAN_F	86	Shaman	Shaman
47	CLASS_DRUID	31	Druid	Druid
48	CLASS_DRUID_F	31	Druid	Druid
49	CLASS_SUMMONER	90	Summoner	Summoner
50	CLASS_SUMMONER_F	90	Summoner	Summoner
51	CLASS_ROGUE	83	Rogue	Rogue
52	CLASS_GORGONEGG2	47	Gorgonegg2	Gorgonegg2
53	CLASS_GREAT_KNIGHT	48	GreatKnight	Great_Knight
54	CLASS_GREAT_KNIGHT_F	48	GreatKnight	Great_Knight
55	CLASS_RECRUIT_T1	81	RecruitT1	Recruit_T1
56	CLASS_JOURNEYMAN_T2	52	JourneymanT2	Journeyman_T2
57	CLASS_PUPIL_T2	77	PupilT2	Pupil_T2
58	CLASS_RECRUIT_T2	81	RecruitT1	Recruit_T1
59	CLASS_MANAKETE_2	59	Manakete2	Manakete_2
60	CLASS_MANAKETE_MYRRH	60	ManaketeMyrrh	Manakete_Myrrh
61	CLASS_JOURNEYMAN	52	JourneymanT2	Journeyman_T2
62	CLASS_PUPIL	77	PupilT2	Pupil_T2
63	CLASS_FIGHTER	41	Fighter	Fighter
64	CLASS_WARRIOR	99	Warrior	Warrior
65	CLASS_BRIGAND	19	Brigand	Brigand
66	CLASS_PIRATE	73	Pirate	Pirate
67	CLASS_BERSERKER	8	Berserker	Berserker
68	CLASS_MONK	65	Monk	Monk
69	CLASS_PRIEST	75	Priest	Priest
70	CLASS_BARD	7	Bard	Bard
71	CLASS_RECRUIT	81	RecruitT1	Recruit_T1
72	CLASS_PEGASUS_KNIGHT	71	PegasusKnight	Pegasus_Knight
73	CLASS_FALCON_KNIGHT	38	FalconKnight	Falcon_Knight
74	CLASS_CLERIC	25	Cleric	Cleric
75	CLASS_TROUBADOUR	96	Troubadour	Troubadour
76	CLASS_VALKYRIE	98	Valkyrie	Valkyrie
77	CLASS_DANCER	27	Dancer	Dancer
78	CLASS_SOLDIER	89	Soldier	Soldier
79	CLASS_NECROMANCER	68	Necromancer	Necromancer
80	CLASS_FLEET	42	Fleet	Fleet
81	CLASS_PHANTOM	72	Phantom	Phantom
82	CLASS_REVENANT	82	Revenant	Revenant
83	CLASS_ENTOUMBED	35	Entoumbed	Entoumbed
84	CLASS_BONEWALKER	17	Bonewalker	Bonewalker
85	CLASS_BONEWALKER_BOW	18	BonewalkerBow	Bonewalker_Bow
86	CLASS_WIGHT	100	Wight	Wight
87	CLASS_WIGHT_BOW	101	WightBow	Wight_Bow
88	CLASS_BAEL	6	Bael	Bael
89	CLASS_ELDER_BAEL	34	ElderBael	Elder_Bael
90	CLASS_CYCLOPS	26	Cyclops	Cyclops
91	CLASS_MAUTHEDOOG	61	Mauthedoog	Mauthedoog
92	CLASS_GWYLLGI	49	Gwyllgi	Gwyllgi
93	CLASS_TARVOS	93	Tarvos	Tarvos
94	CLASS_MAELDUIN	53	Maelduin	Maelduin
95	CLASS_MOGALL	64	Mogall	Mogall
96	CLASS_ARCH_MOGALL	0	ArchMogall	Arch_Mogall
97	CLASS_GORGON	45	Gorgon	Gorgon
98	CLASS_GORGONEGG	46	Gorgonegg	Gorgonegg
99	CLASS_GARGOYLE	43	Gargoyle	Gargoyle
100	CLASS_DEATHGOYLE	28	Deathgoyle	Deathgoyle
101	CLASS_DRACO_ZOMBIE	30	DracoZombie	Draco_Zombie
102	CLASS_DEMON_KING	29	DemonKing	Demon_King
103	CLASS_BLST_REGULAR_USED	15	BlstRegularUsed	Blst_Regular_Used
104	CLASS_BLST_LONG_USED	14	BlstLongUsed	Blst_Long_Used
105	CLASS_BLST_KILLER_USED	12	BlstKillerUsed	Blst_Killer_Used
106	CLASS_BLST_REGULAR_EMPTY	13	BlstLongEmpty	Blst_Long_Empty
107	CLASS_BLST_LONG_EMPTY	16	BlstUsedEmpty	Blst_Used_Empty
108	CLASS_BLST_KILLER_EMPTY	11	BlstKillerEmpty	Blst_Killer_Empty
109	CLASS_CIVILIAN_M1	23	CivilianM1	Civilian_M1
110	CLASS_CIVILIAN_F1	21	CivilianF1	Civilian_F1
111	CLASS_CIVILIAN_M2	24	CivilianM2	Civilian_M2
112	CLASS_CIVILIAN_F2	22	CivilianF2	Civilian_F2
113	CLASS_CIVILIAN_M3	24	CivilianM2	Civilian_M2
114	CLASS_CIVILIAN_F3	22	CivilianF2	Civilian_F2
115	CLASS_PEER	70	Peer	Peer
116	CLASS_QUEEN	78	Queen	Queen
117	CLASS_PRINCE	76	Prince	Prince
118	CLASS_QUEEN_2	79	Queen2	Queen_2
119	CLASS_UNK77	97	Unk77	Unk77
120	CLASS_FALLEN_PRINCE	40	FallenPrince	Fallen_Prince
121	CLASS_TENT	94	Tent	Tent
122	CLASS_PONTIFEX	74	Pontifex	Pontifex
123	CLASS_FALLEN_PEER	39	FallenPeer	Fallen_Peer
124	CLASS_CYCLOPS_2	26	Cyclops	Cyclops
125	CLASS_ELDER_BAEL_2	34	ElderBael	Elder_Bael
126	CLASS_JOURNEYMAN_T1	52	JourneymanT2	Journeyman_T2
127	CLASS_PUPIL_T1	77	PupilT2	Pupil_T2
